id,similarity_mean,similarity_weightedSum
A10249252O9I20MRSOBVF,2.2,11
A107RJSS561Y7R,0.626164596,1.434782609
A12FTSX85NQ8N9,0.678571429,2
A13FUEPWBCLBUY,1,9
A143XRCI1YXAFE,1,7
A147F5PJTHOB8A,1,4
A14WLAP6TCEKO0,0.875744048,5.005952381
A150GMV1YQWWB3,1.2,2.4
A163XFZG5BI0XU,1,3
A166A2M31CW2C7,1.430769231,1.5
A171S8E9IFSHH2,1,4
A17PORAJCUTBBB,1,3
A19ZWBQT8A3LIR,1,1
A1BNGJBEWJS8WE,0.381944444,1.527777778
A1BVG13MHBM1YD,0.800395257,1.600790514
A1CE2XPYCDRHVZ,0.538505868,4.634744667
A1CSDIX05PK9V,1,2
A1F9KLZGHE9DTA,1.027493949,3.926943427
A1FNA7IS6HB59,1,2
A1HWB810RJBV2K,1,5
A1JJYY622DGE5L,0.866666667,4.333333333
A1JWKT0IS06YKL,1,4
A1M682B2WUSYJP,1,5
A1MJVTR0PCKBWW,0.625,1.875
A1NJPPCHN1QN5B,1,3
A1OSRB1Q63XXWZ,0.692307692,3.461538462
A1OWHPMKE7YAGL,0.952380952,2.714285714
A1P0XSCJ9XAV74,1,3
A1PR74OHURJNTO,0.972222222,5.833333333
A1QUBLZCONL4QD,1.025974026,3.090909091
A1SISJL5ST2PWH,1,1
A1TGV7LT6LTIQU,0.5,1
A1VMPZVVVZUCS4,1,2
A1YHIQHLLLQIIQ,1.085064935,5.425324675
A1ZD8RU6YB0VEU,0.5,1.5
A1ZJE1T7Q75321,0.84,5.88
A207IHY6GERCFO,0.798823529,0.7
A21Q7FCKM86VL8,1,3
A235DXY5FJN0IW,1,4
A2389DERMNF3ZB,0.833333333,3.333333333
A248LF7KKHXZ14,1,2
A248QG4DPULP46,0.894117647,3.111111111
A24FN5BK5L9I2S,0.351190476,1.404761905
A25N0K40JAZTN1,0.833333333,1.666666667
A27W025UEXS1G0,0.916666667,1.833333333
A27ZW1CY6TMKT8,2.091161616,9.533333333
A2A5HAPJD18TRU,0.785454545,1.6
A2APG8MSLJ6G2K,0.45,2.25
A2CF2BD4Q0ZDJN,0.972222222,4
A2CWNRI11XJ7WX,1,4
A2CY1TSQ3KKP5Q,1.111111111,5.555555556
A2EI075XZT9Y2S,1,3
A2EJ06OGI9671Q,1,4
A2EKR2ZFO10VMV,0.976190476,1
A2HHKBW8HQWI66,1,3
A2IQ0QCTQ3KWLT,1,5
A2J5N770I859WE,1,3
A2JP9IKRHNLRPI,1,2
A2MCG5W6LHSRG9,0.909090909,3.454545455
A2MUCL20GTQJA0,1.25,2.5
A2NT3OQZUUZPEO,1,9
A2OG8XRYJ56HS7,0.958333333,1.833333333
A2Q3FS9G8ITCN7,0.666666667,2
A2QFZ2524HID2B,0.829230769,4.135384615
A2S75O867RJG0I,1,2
A2SD7GN80U31GW,1,2
A2SJC9VRBGNC58,0.981481481,7
A2T007HZK66WM,0.942857143,4.714285714
A2TKFZQRNAZS1L,0.833333333,0.833333333
A2TLN8489YGY81,0.890909091,4.454545455
A2WVCXVSE0YGML,0.976190476,8
A2XQ3CFB5HT2ZQ,1,3
A2YFTTVAH9AFXU,1.111111111,6
A311A0TCGNTFKK,1.5,4.5
A35K3YVCX1LVPE,1.142857143,5.714285714
A36CZ0F88ELFWF,1,2
A36GTTPW17HUL1,1,2
A36Z98LFRR041Q,1.002777778,6.016666667
A3908297ZI3LES,1,1
A394S7JSNUA3TS,0.933333333,2.833333333
A39C210BKD7YNN,1,3
A3A8P4UR9A0DWQ,1,6
A3C0LPVN749UF3,1,7
A3FJCLBK3HF4PD,0.543650794,1.630952381
A3GLUDQZGEJL5G,1,5
A3GPTSDDHJ2DBV,1,5
A3H2Y9ZTY867J3,1,3
A3J55BJGV95JKH,0.714285714,2.142857143
A3JSDZMBS8L87S,1,1
A3LNM77PCQOTHJ,1,5
A3NBLSA78ZXDNP,1,5
A3O0QZQ4V2IXT7,0.923232323,4.616161616
A3RCX3IQ8L6HHW,0.936507937,4.714285714
A3RDH0U2H6JCBC,0.474537037,1.423611111
A3U21PUMQ6NGT2,0.423076923,0.769230769
A3V2XCDF45VN9X,1,4
A3VTOW7WLPTBRR,1,2
A4IH4CO046EV3,1,3
A4WBW7FVQASZE,1,6
A5TMU62U5FE5K,1,2
A77K8W55MJEKX,0.719047619,2.380952381
A7ERZELTAMWL5,1.295454545,2.5
A7TI4X4LRGQA0,1,2
A8RDXT4ZILHQT,1,2
A9ZCY6FLUCIU1,1,3
AB66CTVQ90RCV,0.770833333,2.3125
ABX5OQLR6UNBC,1,3
ACFPXI6LMHSZU,1,2
AGKCK081EU63R,1,3
AIQM86IRETAJN,1.511883085,7.799610136
AJAKX491SGILM,1,5
ALEJV7D94ZLHF,1,1
AMELYCC59JKB0,0.429030303,1.945151515
AMZV70TID53WY,0.25,0.5
APGX2WZ59OWDN,1,3
AQJWO4YPR3LUQ,1,3
AQYYBOOF0846O,1,4
ARUXG5FD1Q76F,0.555555556,1.666666667
AU0KL60G7FCCK,0.944367816,2.833103448
AWKJJC3QFU9VW,0.676666667,2.03
AWY6W20U8H3JA,1,4
AXAO7UJYYEFCO,0.838902813,3.619883041
AY2U544TCVPMQ,0.739316239,3.435897436
AYPOAY43REHC8,1,3
