id,similarity_mean,similarity_weightedSum
A3F90N8YVKJ4I7,1,2
A1I72NHC21347A,NA,NA
A5Z9DOJRPICW1,2.652294197,22.16538462
A2M3FPQF852HW4,NA,NA
A3SFNY43VM330P,Inf,NA
A123Z5E5ULFEX7,1.098258196,8.786065572
AWN8SISULPG1E,1.362916295,8.177497772
A2KRPK3GQR0GA9,NA,NA
A36IO8HVVL5WTZ,NA,NA
A1UZXOMO6BS6I2,1.254761905,2.8
AYHK8DTZONHKC,1,10
A18WSAKX5YN2FB,NA,NA
A1NVJB5O4H7ZCJ,Inf,NA
A1KTZE679PHSFQ,NA,NA
ADXRJFEHIDXRE,NA,NA
A1B4KC5KP7FH1Z,NA,NA
A3822BB341LIB2,NA,NA
A1ZSF0TMW419EK,NA,NA
A7204W9E8IR1R,NA,NA
A1KOBLL83SICGQ,0.848945869,1.641025641
A351P2O6QGTCS,NA,NA
A1GASF35DM5ZD6,NA,NA
A1QGG767E07WBA,Inf,Inf
A10BH9PYCYUKDJ,NA,NA
A1ATL3G98SFW4V,0.480747462,1.442242387
AKQAI78JTXXC9,0,0
A1PZIN8H1VI6SY,0.469475622,0.895104895
AV6C736XAEG67,1,4
AOIR8V07FYMH5,NA,NA
A1ODA3Q5H6HTDQ,Inf,Inf
A2NBBQ3DKW5MV3,1.180079991,3.204545455
A3095ABT1L25QK,NA,NA
A2SMXW8QTM2BS5,1.1877419,11.98451574
A1MNY9OSINZ2GA,5.18707483,18.80952381
AX7VQSTZA8DQA,0,0
A2W5RJFHZRE8IS,NA,NA
AYGGBBDSQP21G,1.1421627,4.643410852
A1P47Q6LZPLQ6P,0,0
A1720HSKGQ41VJ,NA,NA
A2R75YFKVALBXE,NA,NA
ABBP9JASL9AGK,Inf,NA
A1TTFE7OTLIJW8,NA,NA
AIHHRINW9IN1I,NA,NA
AMNRYECHXZY34,NA,NA
AZVWH7V65BL5W,NA,NA
A1EH9BPKYXFBS5,NA,NA
AIOLG7U4ZM44P,1.529738562,4.25
A21JMLYH0P47QV,0.342058033,1.386760753
A1N16ZU0FNQEY6,2.322185973,14.31863393
A3KFFIBJZVM0J2,NA,NA
AGB57MX9TVKND,NA,NA
A3B7TNVOISSZ2O,1,5
A1TMZLYXQAK8Q0,1.033333333,4.133333333
A2L5SX9SZKUESP,1.986801242,7.947204969
A1AKL5YH9NLD2V,0.153015873,0.565079365
A19S4W3QLLQJ0T,NA,NA
A2LF84L3K71GR2,0.869270621,2.03125
A1W7I6FN183I8F,NA,NA
AQEP3H2QADT47,NA,NA
A36DK84J5YJ942,0.62,0.62
A1PNYLOKED8FWF,0.256666667,0.75
A1BHR5XQ16T7LA,NA,NA
AH00EJ6PK1H3A,NA,NA
A1VRBTDT3VJSIA,1.160096811,2.371183533
A29OIZAIHTFKUV,NA,NA
A2THN8O1IQIRP7,Inf,Inf
A002160837SWJFPIAI7L7,NA,NA
A39C1BN9ZSQ0R2,NA,NA
A2UIGDOLX5RV95,0.123892915,0.371678744
A1LGMX4P87TNAR,1.229356849,1.963393626
AYNP68D2ARLFJ,1.3953125,5.3
A1FNA7IS6HB59,0,0
AMELYCC59JKB0,0.030315859,0.138245964
A3NBLSA78ZXDNP,NA,NA
A2SJC9VRBGNC58,NA,NA
A2TLN8489YGY81,NA,NA
A3JSDZMBS8L87S,1.153759398,1.328571429
A311A0TCGNTFKK,1.984281046,5.435294118
A7ERZELTAMWL5,1.503673469,2.857142857
A39C210BKD7YNN,0.885834816,2.657504447
A1OWHPMKE7YAGL,NA,NA
AH7Z2M3KSQ4DW,1.431372549,2.862745098
A36GTTPW17HUL1,3.555380486,8.705357143
A14WLAP6TCEKO0,NA,NA
A147F5PJTHOB8A,NA,NA
A3J55BJGV95JKH,0,0
A3U21PUMQ6NGT2,NA,NA
AQJWO4YPR3LUQ,1.405276907,4.754440961
