"","id","net_size","tot_edges","tot_weak_ties","tot_strong_ties","max_deg","mean_deg","density_val","deg_centrality_score","constraint","kinship","conspiracy_score","similarity_mean","similarity_weightedSum","paranoia_score","paranoia_group","kappa","mu02","mu03","omega2","omega3","dataset"
"1","A002160837SWJFPIAI7L7",5,15,6,9,5,5,1,0,0.603290816,2,2.4,0.555555555555556,2.77777777777778,0.111111111,"low",0.466650158,-0.282902246,-0.697897805,1.327059207,0.648294634,"social_network"
"2","A101U3FTZYY87V",5,11,9,2,5,3.666666667,0.733333333,0.266666667,0.568472222,0,1,1.4,1,0.5,"low",0.438946595,-0.101367135,-1.410361792,1.952531018,-0.501267891,"social_network"
"3","A10249252O9I20MRSOBVF",5,14,2,12,5,4.666666667,0.933333333,0.066666667,0.624673621,4,4,0.76,3.8,0,"low",0.464749846,-0.470525594,-1.822998176,1.214134739,-0.402988551,"social_network"
"4","A107RJSS561Y7R",8,22,15,7,8,4.888888889,0.611111111,0.388888889,0.372191184,2,4,0.7,2.9,0,"low",0.412269929,-0.075578732,-0.913639162,2.211224333,0.025737795,"social_network"
"5","A10BH9PYCYUKDJ",6,20,8,12,6,5.714285714,0.952380952,0.047619048,0.533844063,2,2.8,1,5.07142857142857,0,"low",0.4698502,-0.070645998,-1.237891288,1.463288778,-0.708075736,"social_network"
"6","A118BQHK3S4UDV",6,12,8,4,6,3.428571429,0.571428571,0.428571429,0.472330729,2,2,0.8375,2,1.777777778,"high",0.642673631,-0.092139174,0.927369185,-0.883419103,-1.820924609,"social_network"
"7","A11DJHOJ5CEV4A",4,8,4,4,4,3.2,0.8,0.2,0.612454649,0,2.6,0.923076923076923,3,1,"low",0.424086324,0.0230018,0.058003869,2.207811617,-0.303985506,"social_network"
"8","A123Z5E5ULFEX7",8,36,7,29,8,8,1,0,0.432512556,0,3.4,1.24264705882353,9.94117647058824,1.722222222,"high",0.545852633,-0.013037963,0.49172658,-0.198433332,-1.035655959,"social_network"
"9","A12F9HCQNQ7CSA",14,79,39,40,14,10.53333333,0.752380952,0.247619048,0.267129715,4,3.4,1.13620448179272,11.6911764705882,2.555555556,"high",0.406958925,-0.149393806,-0.008177041,2.089570935,0.124527256,"social_network"
"10","A12FTSX85NQ8N9",4,8,5,3,4,3.2,0.8,0.2,0.698125,1,2.4,1.20833333333333,2,0.111111111,"low",0.47993305,-0.095236026,-0.946010384,1.314929107,0.13976881,"social_network"
"11","A12J4IRF5Z06BT",6,15,9,6,6,4.285714286,0.714285714,0.285714286,0.493053036,1,4,0.864583333333333,2.45,0.111111111,"low",0.45858188,-0.449442076,-1.929111415,1.142161843,0.430803257,"social_network"
"12","A13DHPKBQXN9R7",4,6,1,5,3,3,1,0,0.882469136,0,1,1.06666666666667,3.2,0.444444444,"low",0.540413417,-0.058308263,-0.492223468,2.849859808,-0.238249526,"social_network"
"13","A13FUEPWBCLBUY",10,45,23,22,9,9,1,0,0.379174409,5,1,1,9,0,"low",0.455369388,-0.383241139,-2.659142148,0.568160075,-0.007332643,"social_network"
"14","A13WTEQ06V3B6D",5,14,7,7,5,4.666666667,0.933333333,0.066666667,0.610410263,1,1.8,0.888888888888889,3.55555555555556,0.222222222,"low",0.598645906,-0.060053126,0.558862637,0.097631535,-0.933494473,"social_network"
"15","A13ZMMHQFG93RV",7,21,15,6,6,6,1,0,0.5040479,3,1.4,0.785714285714286,4,0,"low",0.392963548,-0.022057272,-0.571639503,2.700593071,-0.696235563,"social_network"
"16","A143XRCI1YXAFE",7,28,11,17,7,7,1,0,0.471809811,2,1,1,7,0,"low",0.59792638,-0.004530656,0.995509754,-2.122887804,-2.00786491,"social_network"
"17","A147F5PJTHOB8A",5,11,4,7,5,3.666666667,0.733333333,0.266666667,0.578009574,3,1,2.76,9.6,0,"low",0.425243402,-0.233931178,0.065047324,2.863472124,-1.615156244,"social_network"
"18","A14LOABUGAITBM",8,22,8,14,8,4.888888889,0.611111111,0.388888889,0.44236797,4,4.2,1.09126984126984,4.12698412698413,3.944444444,"high",0.615280231,-0.004291615,1.004444393,-1.56037012,-1.958902093,"social_network"
"19","A14OQ52EFQAN2W",2,2,0,2,2,1.333333333,0.666666667,0.333333333,0.5,1,1,1.8,3.6,0.055555556,"low",0.412586994,-0.990655112,-2.810024564,1.128849721,-0.501223766,"social_network"
"20","A14WLAP6TCEKO0",8,32,16,16,8,7.111111111,0.888888889,0.111111111,0.436765449,2,2.4,0.604166666666667,3.5,1.944444444,"high",0.476205588,0.096500145,-1.262289542,1.950978928,-1.219844154,"social_network"
"21","A150GMV1YQWWB3",4,9,5,4,4,3.6,0.9,0.1,0.790332105,2,3.2,0.75,1.5625,0.611111111,"low",0.472226434,-0.180928176,-1.526291746,1.095532281,0.144731848,"social_network"
"22","A15R4L3EO5EAI9",7,15,6,9,7,3.75,0.535714286,0.464285714,0.443777311,3,1.6,1.03571428571429,4.25,0,"low",0.418663487,0.001912856,-0.375547425,2.150301502,-0.618183835,"social_network"
"23","A163XFZG5BI0XU",3,6,0,6,3,3,1,0,0.925925926,3,1,1.46666666666667,4.4,0,"low",0.644179419,-0.203564408,0.815452647,-0.781096589,-1.766860076,"social_network"
"24","A166A2M31CW2C7",5,9,7,2,5,3,0.6,0.4,0.566550926,3,2.8,0.964285714285714,0.892857142857143,2.055555556,"high",0.429295216,-0.34184382,-0.821901113,1.999700408,-0.459153208,"social_network"
"25","A16LZUEQ6JGHWA",5,8,2,6,5,2.666666667,0.533333333,0.466666667,0.380972222,3,1.8,0.8,2.44444444444444,0.722222222,"low",0.476866169,-0.079390433,-1.763141372,0.860677019,-0.037627512,"social_network"
"26","A16PGNEFSNCTXF",5,15,0,15,5,5,1,0,0.648,0,1,2,10,0,"low",0.456532776,-0.109586443,-0.545016862,1.920643628,0.257598476,"social_network"
"27","A171S8E9IFSHH2",5,12,5,7,5,4,0.8,0.2,0.616904762,3,2.8,0.4,1.64285714285714,0.611111111,"low",0.533980512,-0.171815688,0.326773848,1.069576377,-1.800941353,"social_network"
"28","A1720HSKGQ41VJ",5,13,4,9,5,4.333333333,0.866666667,0.133333333,0.595949206,3,2,1.32,6.6,0.055555556,"low",0.454228647,-0.688638118,-2.194902461,0.845449051,0.017223172,"social_network"
"29","A1721FMJBGZVYE",5,15,0,15,5,5,1,0,0.648,2,1,1,5,0,"low",0.418652252,-0.645093502,-1.083170701,1.844736906,-0.422522482,"social_network"
