id,points,rt,reversals,wsr_firstHalf,wsr_secondHalf,wsr,lsr_firstHalf,lsr_secondHalf,lsr_stay,lsr_switch
A002160837SWJFPIAI7L7,8500,188.7125,6,0,0,0,0.363636364,0.192307692,0.270833333,0.729166667
A10AVWALIHR4UQ,7000,259.2375,6,0,0.047619048,0.020618557,0.086956522,0.055555556,0.06779661,0.93220339
A10BH9PYCYUKDJ,7600,276.625,3,0.230769231,0.041666667,0.14,0,0.166666667,0.089285714,0.910714286
A123Z5E5ULFEX7,5350,1375.70625,2,0.196078431,0.176470588,0.188235294,0.074074074,0.272727273,0.197183099,0.802816901
A13WTEQ06V3B6D,5350,817.31875,3,0.204545455,0.095238095,0.151162791,0.411764706,0.25,0.328571429,0.671428571
A15FXHC1CVNW31,6400,343.275,8,0.042553191,0,0.021505376,0.580645161,0.5625,0.571428571,0.428571429
A16PGNEFSNCTXF,7600,844.6625,7,0.1,0,0.049019608,0.035714286,0.038461538,0.037037037,0.962962963
A1720HSKGQ41VJ,7750,322.8125,5,0,0.065217391,0.02970297,0.47826087,0.40625,0.436363636,0.563636364
A17LVICI7DOJ3N,6250,1047.975,2,0.192307692,0.390243902,0.279569892,0.115384615,0.189189189,0.158730159,0.841269841
A17TKHT8FEVH0R,8650,785.375,6,0.020408163,0,0.009259259,0,0.052631579,0.020833333,0.979166667
A18FPXIJYCTETD,8050,279.1875,4,0,0,0,0.176470588,0.117647059,0.137254902,0.862745098
A18WSAKX5YN2FB,9700,457.6,6,0,0,0,0.105263158,0,0.047619048,0.952380952
A19S4W3QLLQJ0T,6850,640.90625,8,0.020833333,0,0.010416667,0.5,0.533333333,0.516666667,0.483333333
A1A1ZXUVSV4YR8,8050,462.2375,6,0.019230769,0.019230769,0.019230769,0.538461538,0.576923077,0.557692308,0.442307692
A1AKL5YH9NLD2V,8500,144.01875,11,0.018181818,0,0.009345794,0.565217391,0.615384615,0.591836735,0.408163265
A1ATL3G98SFW4V,8200,381.325,5,0.033898305,0,0.019047619,0,0,0,1
A1AUQK7SIP4B6N,5800,1003.4,1,0.767857143,0.529411765,0.677777778,0.045454545,0.136363636,0.106060606,0.893939394
